,,,0
GS10,t24,GS10,0.20924802088544178
AAA,t1,AAA,0.18269678780203347
AAA,t6,AAA,0.18617772774899766
AAA,t12,AAA,0.18774468454102688
AAA,t24,AAA,0.18509003375900618
BAA,t1,BAA,0.20966501635075355
BAA,t6,BAA,0.21862851651222606
BAA,t12,BAA,0.22123294585077719
BAA,t24,BAA,0.2186862958097329
COMPAPFFx,t1,COMPAPFFx,0.15640010949502797
COMPAPFFx,t6,COMPAPFFx,0.26263070983327247
COMPAPFFx,t12,COMPAPFFx,0.2987643495143383
COMPAPFFx,t24,COMPAPFFx,0.30059421521402324
TB3SMFFM,t1,TB3SMFFM,0.11743820567831868
TB3SMFFM,t6,TB3SMFFM,0.20639294972721142
TB3SMFFM,t12,TB3SMFFM,0.2633681103366183
TB3SMFFM,t24,TB3SMFFM,0.2785511025552929
TB6SMFFM,t1,TB6SMFFM,0.11554824102841495
TB6SMFFM,t6,TB6SMFFM,0.2572770215283265
TB6SMFFM,t12,TB6SMFFM,0.3032398847059808
TB6SMFFM,t24,TB6SMFFM,0.3106147304488611
T1YFFM,t1,T1YFFM,0.13605058140582005
T1YFFM,t6,T1YFFM,0.3394788248691423
T1YFFM,t12,T1YFFM,0.3963103539197502
T1YFFM,t24,T1YFFM,0.41322196277948364
T5YFFM,t1,T5YFFM,0.22491506088842925
T5YFFM,t6,T5YFFM,0.6639703096792428
T5YFFM,t12,T5YFFM,0.9012309453137819
T5YFFM,t24,T5YFFM,1.1169279070538352
T10YFFM,t1,T10YFFM,0.23717662093341652
T10YFFM,t6,T10YFFM,0.7462480943375678
T10YFFM,t12,T10YFFM,1.1033143383618154
T10YFFM,t24,T10YFFM,1.4800907656528486
AAAFFM,t1,AAAFFM,0.25334418165077416
AAAFFM,t6,AAAFFM,0.8477874157360182
AAAFFM,t12,AAAFFM,1.3618662763037936
AAAFFM,t24,AAAFFM,1.9274779294835132
BAAFFM,t1,BAAFFM,0.30879775394796677
BAAFFM,t6,BAAFFM,1.0262851066215057
BAAFFM,t12,BAAFFM,1.614821556841086
BAAFFM,t24,BAAFFM,2.2119236408584886
TWEXAFEGSMTHx,t1,TWEXAFEGSMTHx,1.502750856757164
TWEXAFEGSMTHx,t6,TWEXAFEGSMTHx,1.6058257947380628
TWEXAFEGSMTHx,t12,TWEXAFEGSMTHx,1.6066525660537807
TWEXAFEGSMTHx,t24,TWEXAFEGSMTHx,1.6032047934819524
EXSZUSx,t1,EXSZUSx,2.2096114292975693
EXSZUSx,t6,EXSZUSx,2.2000067223995607
EXSZUSx,t12,EXSZUSx,2.199356661772493
EXSZUSx,t24,EXSZUSx,2.1941356804089343
EXJPUSx,t1,EXJPUSx,2.1724074888739824
EXJPUSx,t6,EXJPUSx,2.2596586381189625
EXJPUSx,t12,EXJPUSx,2.251712076548869
EXJPUSx,t24,EXJPUSx,2.2703083558973596
