,,Symmetric,Asymmetric
Forecasting Horizon 6,S&P PE ratio,0.048198268772354204,0.05439278516136476
Forecasting Horizon 6,FEDFUNDS,0.13589040746007408,0.14584565972581987
Forecasting Horizon 6,CP3Mx,0.12697867470210897,0.13823985130603994
Forecasting Horizon 6,TB3MS,0.13313840759199053,0.13212616996041004
Forecasting Horizon 6,TB6MS,0.13082698270067636,0.13161975921640412
Forecasting Horizon 6,GS1,0.1341146586923091,0.13511161224312718
Forecasting Horizon 6,GS5,0.13102170128565005,0.13708390764170408
Forecasting Horizon 6,GS10,0.11970372526320962,0.12354912800588694
Forecasting Horizon 6,AAA,0.09130924598117626,0.09235714122472839
Forecasting Horizon 6,BAA,0.1128009228652295,0.12766367282626137
Forecasting Horizon 6,COMPAPFFx,0.28618285041054353,0.2832986485151926
Forecasting Horizon 6,TB3SMFFM,0.27149265436703307,0.24484830392803017
Forecasting Horizon 6,TB6SMFFM,0.3101825425690869,0.2946999265395212
Forecasting Horizon 6,T1YFFM,0.3475042782547562,0.34135179646594155
Forecasting Horizon 6,T5YFFM,0.6500167277959218,0.7714405246073903
Forecasting Horizon 6,T10YFFM,0.747201320881773,0.8550335612651528
Forecasting Horizon 6,AAAFFM,0.9131410237282039,0.9885177697962926
Forecasting Horizon 6,BAAFFM,1.0710394620486592,1.1736547677525655
Forecasting Horizon 6,TWEXAFEGSMTHx,0.009385539479705336,0.010753347042802508
Forecasting Horizon 6,EXSZUSx,0.009908150260898573,0.013350780510016395
Forecasting Horizon 6,EXJPUSx,0.013021321841814253,0.01402100707699499
Forecasting Horizon 6,EXUSUKx,0.012746507925491658,0.015616773624198922
Forecasting Horizon 6,EXCAUSx,0.010508084585451452,0.010990730394812753
Forecasting Horizon 6,WPSFD49207,0.009419773656848941,0.009514015755290605
Forecasting Horizon 6,WPSFD49502,0.012517535398826475,0.012644055425873137
Forecasting Horizon 6,WPSID61,0.010262042515945067,0.010330482050290968
Forecasting Horizon 6,WPSID62,0.045675948360949285,0.046429452741882114
Forecasting Horizon 6,OILPRICEx,0.12153787687693844,0.12242259723093679
Forecasting Horizon 6,PPICMM,0.04124551024496831,0.04134685053278869
Forecasting Horizon 6,CPIAUCSL,0.0029234740532951553,0.002931336500831261
Forecasting Horizon 6,CPIAPPSL,0.006754529555486891,0.006796109956862699
Forecasting Horizon 6,CPITRNSL,0.01614706433692967,0.016138780898898752
Forecasting Horizon 6,CPIMEDSL,0.0022124294197840223,0.002198700610641162
Forecasting Horizon 6,CUSR0000SAC,0.006901015775810862,0.006933035917553803
Forecasting Horizon 6,CUSR0000SAD,0.0038141121446496618,0.0038062421086552164
Forecasting Horizon 6,CUSR0000SAS,0.0012017276193593753,0.0012114302210427396
Forecasting Horizon 6,CPIULFSL,0.0034035763263178865,0.0033974883232878407
Forecasting Horizon 6,CUSR0000SA0L2,0.0042914921953803664,0.004297043570050217
Forecasting Horizon 6,CUSR0000SA0L5,0.0031443722205178022,0.0031444906149109253
Forecasting Horizon 6,PCEPI,0.0020377324316119584,0.0020455773831962055
Forecasting Horizon 6,DDURRG3M086SBEA,0.0033369178094398095,0.003374140629670945
Forecasting Horizon 6,DNDGRG3M086SBEA,0.007629422426484874,0.007709682067535011
Forecasting Horizon 6,DSERRG3M086SBEA,0.0011294232548136475,0.0011486412958975594
Forecasting Horizon 6,CES0600000008,0.002444853201149472,0.0024624910423135687
Forecasting Horizon 6,CES2000000008,0.0058072362766053535,0.005804964084685516
Forecasting Horizon 6,CES3000000008,0.0030269333714930723,0.0030902441691106034
Forecasting Horizon 6,UMCSENTx,1.4368122250902997,1.6586875536107502
Forecasting Horizon 6,DTCOLNVHFNM,0.029712558062363,0.02980940653292458
Forecasting Horizon 6,DTCTHFNM,0.035322957288379225,0.03545132514355943
Forecasting Horizon 6,INVEST,0.009955704197163726,0.010008365350125094
Forecasting Horizon 6,VIXCLSx,8.76452941487033,9.633123700956977
Forecasting Horizon 12,RPI,0.0029410930338093807,0.003379787845158238
Forecasting Horizon 12,W875RX1,0.0024163554468461705,0.003434942886441767
Forecasting Horizon 12,DPCERA3M086SBEA,0.0024715648545597345,0.002889885016704356
Forecasting Horizon 12,CMRMTSPLx,0.0043878899977834234,0.0052416353178557215
Forecasting Horizon 12,RETAILx,0.0056039814301377874,0.006857491711806796
Forecasting Horizon 12,INDPRO,0.004972819034795828,0.005665566884539198
Forecasting Horizon 12,IPFPNSS,0.004587398687633712,0.0053572337653336344
Forecasting Horizon 12,IPFINAL,0.0044275081097008675,0.005248362911516013
Forecasting Horizon 12,IPCONGD,0.0033864660986569046,0.004083518615056241
Forecasting Horizon 12,IPDCONGD,0.011058477172426709,0.01337625653013079
Forecasting Horizon 12,IPNCONGD,0.0017539841872085014,0.0023006508496592895
Forecasting Horizon 12,IPBUSEQ,0.00831465566116979,0.009284094979746792
Forecasting Horizon 12,IPMAT,0.0056220101012827125,0.0063441963573348005
Forecasting Horizon 12,IPDMAT,0.009147745765660303,0.009886772052136521
Forecasting Horizon 12,IPNMAT,0.005005541902525533,0.006546452554485262
Forecasting Horizon 12,IPMANSICS,0.005622499644099064,0.00663632983301244
Forecasting Horizon 12,IPB51222S,0.005807212446333476,0.010501819794672546
Forecasting Horizon 12,IPFUELS,0.007237088354420961,0.008437504525202368
Forecasting Horizon 12,CUMFNS,0.418860511652335,0.5030935932321244
Forecasting Horizon 12,HWI,123.94291649620968,148.28105509157632
Forecasting Horizon 12,HWIURATIO,0.03086902110026854,0.03210844820453599
Forecasting Horizon 12,CLF16OV,0.0008530432396473872,0.0010611055024220652
Forecasting Horizon 12,CE16OV,0.0025791358872684126,0.002866635628112263
Forecasting Horizon 12,UNRATE,0.18284471557372492,0.1904771996164467
Forecasting Horizon 12,UEMPMEAN,0.4328530451596123,0.4236950873545385
Forecasting Horizon 12,UEMPLT5,0.01982819512471596,0.02218483061161708
Forecasting Horizon 12,UEMP5TO14,0.03135757379232421,0.03471686368717727
Forecasting Horizon 12,UEMP15OV,0.03722918514405521,0.0388606966054554
Forecasting Horizon 12,UEMP15T26,0.039278867918806,0.04174855039420734
Forecasting Horizon 12,UEMP27OV,0.03981212646997045,0.042699430499379104
Forecasting Horizon 12,CLAIMSx,0.049593757830803636,0.05114471687175508
Forecasting Horizon 12,PAYEMS,0.0025704125103416598,0.002784348967055618
Forecasting Horizon 12,USGOOD,0.0041442115256398555,0.004522752178572486
